,p_id,ycount,gcount,fhvcount,sum
0,1,340,2,11302,11644
1,2,22,1,163,186
2,3,662,3185,159211,163058
3,4,110172,3,515475,625650
4,5,89,27,19374,19490
5,6,98,30,32706,32834
6,7,101337,145579,986702,1233618
7,8,478,54,6460,6992
8,9,339,942,75801,77082
9,10,10972,4508,263614,279094
10,11,581,1844,97366,99791
11,12,13146,1,12331,25478
12,13,368972,47,436943,805962
13,14,3339,9719,457347,470405
14,15,500,835,63526,64861
15,16,721,1537,185986,188244
16,17,9399,24305,809540,843244
17,18,1026,6673,359644,367343
18,19,731,1555,62936,65222
19,20,494,3429,210186,214109
20,21,1242,4498,236078,241818
21,22,1662,5022,270784,277468
22,23,84,43,82493,82620
23,24,140072,11846,171868,323786
24,25,42468,56713,494751,593932
25,26,2349,7023,366113,375485
26,27,30,18,3325,3373
27,28,4031,4160,181540,189731
28,29,775,4435,150708,155918
29,30,9,6,2903,2918
30,31,157,599,41461,42217
31,32,1095,5065,191396,197556
32,33,51859,80068,415123,547050
33,34,674,763,55275,56712
34,35,3484,14131,508585,526200
35,36,8088,19383,850757,878228
36,37,12470,13155,1080774,1106399
37,38,765,1773,76053,78591
38,39,3627,14688,741143,759458
39,40,32286,20666,231701,284653
40,41,179095,183515,604803,967413
41,42,88780,126394,846762,1061936
42,43,515964,26774,270555,813293
43,44,17,4,21069,21090
44,45,82246,8,226174,308428
45,46,37,172,11634,11843
46,47,1282,5209,264959,271450
47,48,1442585,224,1455199,2898008
48,49,13563,37456,658588,709607
49,50,427051,35,600205,1027291
50,51,2433,9563,248560,260556
51,52,35048,29587,115091,179726
52,53,550,656,121791,122997
53,54,1957,1753,70634,74344
54,55,1226,13163,188740,203129
55,56,2334,8701,302845,313880
56,57,158,460,15545,16163
57,58,99,250,22330,22679
58,59,63,237,14033,14333
59,60,650,2624,177428,180702
60,61,11339,38618,1419129,1469086
61,62,3456,10221,363972,377649
62,63,907,2722,284690,288319
63,64,305,471,52575,53351
64,65,58184,47339,417840,523363
65,66,19130,49234,307545,375909
66,67,718,1945,147005,149668
67,68,989575,72,1033773,2023420
68,69,3612,13638,470109,487359
69,70,7842,4222,226185,238249
70,71,2525,10387,401806,414718
71,72,2535,10805,540972,554312
72,73,246,643,101702,102591
73,74,192746,233260,642942,1068948
74,75,337049,188766,580079,1105894
75,76,5542,20368,845795,871705
76,77,1423,5889,257803,265115
77,78,1193,6723,314138,322054
78,79,1241381,69,1664045,2905495
79,80,25194,34301,860503,919998
80,81,1072,4670,231115,236857
81,82,19540,120145,541695,681380
82,83,7285,16724,187376,211385
83,84,11,6,33657,33674
84,85,2170,5586,269975,277731
85,86,392,1065,96175,97632
86,87,281092,31,571019,852142
87,88,129166,36,152382,281584
88,89,7459,15824,726465,749748
89,90,717584,69,721744,1439397
90,91,3042,11818,479651,494511
91,92,2662,22537,435336,460535
92,93,4602,3166,42646,50414
93,94,540,2738,145545,148823
94,95,9206,73608,463187,546001
95,96,138,131,19062,19331
96,97,36562,62373,555736,654671
97,98,689,1086,84755,86530
98,99,3,2,3338,3343
99,100,969752,187,602372,1572311
100,101,625,931,62851,64407
101,102,783,1971,192869,195623
102,103,0,0,0,0
103,104,0,0,0,0
104,105,47,0,11,58
105,106,6266,8169,183401,197836
106,107,996637,56,964461,1961154
107,108,778,4575,126042,131395
108,109,12,1,41274,41287
109,110,2,0,247,249
110,111,110,122,7317,7549
111,112,17787,34221,778347,830355
112,113,588344,56,591921,1180321
113,114,526030,59,627582,1153671
114,115,51,128,60635,60814
115,116,62925,65999,463258,592182
116,117,273,982,85714,86969
117,118,46,17,51694,51757
118,119,2076,5419,322765,330260
119,120,242,510,41817,42569
120,121,1174,4635,179039,184848
121,122,552,2314,91264,94130
122,123,1565,6041,237531,245137
123,124,964,1731,98216,100911
124,125,237754,60,306909,544723
125,126,889,3142,195020,199051
126,127,4327,14975,332054,351356
127,128,281,589,20391,21261
128,129,37185,101774,722886,861845
129,130,4879,42033,421311,468223
130,131,1195,3008,124582,128785
131,132,796569,244,1295837,2092650
132,133,2622,3535,189682,195839
133,134,2632,20906,173803,197341
134,135,2511,3726,168372,174609
135,136,1276,6275,223913,231464
136,137,553383,135,749817,1303335
137,138,930718,293,939307,1870318
138,139,1015,1958,123778,126751
139,140,774334,51,672546,1446931
140,141,1028356,45,756835,1785236
141,142,1000246,54,676534,1676834
142,143,507534,32,628345,1135911
143,144,349911,27,643325,993263
144,145,34644,56299,561788,652731
145,146,50883,14545,236286,301714
146,147,926,3415,193392,197733
147,148,730813,34,1245502,1976349
148,149,874,3885,191241,196000
149,150,411,1919,117616,119946
150,151,389681,20,389755,779456
151,152,44068,31748,234238,310054
152,153,858,1316,50520,52694
153,154,119,180,8325,8624
154,155,1613,6878,237360,245851
155,156,99,109,80909,81117
156,157,2259,2080,239718,244057
157,158,450686,24,631424,1082134
158,159,3670,11423,324502,339595
159,160,943,1796,183286,186025
160,161,1238963,140,840511,2079614
161,162,1245246,182,645570,1890998
162,163,908144,125,598838,1507107
163,164,951901,152,961216,1913269
164,165,2114,7497,269003,278614
165,166,208510,108960,414561,732031
166,167,1797,6855,328849,337501
167,168,9234,11677,414602,435513
168,169,1600,6510,402206,410316
169,170,1318286,137,921229,2239652
170,171,920,1842,172610,175372
171,172,23,6,30798,30827
172,173,2345,9846,229692,241883
173,174,1277,8184,298900,308361
174,175,710,1286,75089,77085
175,176,19,5,20851,20875
176,177,2294,8445,418214,428953
177,178,752,2585,105736,109073
178,179,37247,24697,338460,400404
179,180,730,1344,117546,119620
180,181,37929,63307,886785,988021
181,182,1874,12033,203663,217570
182,183,342,2157,82262,84761
183,184,73,336,16554,16963
184,185,861,5030,216108,221999
185,186,1529816,204,582317,2112337
186,187,51,27,45918,45996
187,188,7694,18055,693925,719674
188,189,9345,9132,333619,352096
189,190,1710,1902,63215,66827
190,191,1614,4278,204472,210364
191,192,628,2618,119298,122544
192,193,23901,8896,113098,145895
193,194,1924,141,6527,8592
194,195,2796,4845,149309,156950
195,196,4698,18913,179521,203132
196,197,2379,4787,333951,341117
197,198,1960,2886,577091,581937
198,199,8,0,79,87
199,200,864,3037,140511,144412
200,201,67,212,32940,33219
201,202,1406,322,54232,55960
202,203,1138,1561,133457,136156
203,204,8,4,15322,15334
204,205,2439,5900,291198,299537
205,206,71,67,147813,147951
206,207,490,78,978,1546
207,208,908,3806,232258,236972
208,209,71450,7,187393,258850
209,210,1734,13789,261556,277079
210,211,240434,51,444153,684638
211,212,1286,6970,185967,194223
212,213,2772,11814,361532,376118
213,214,46,17,45439,45502
214,215,4131,4915,243014,252060
215,216,5311,4485,448160,457956
216,217,3498,3011,125556,132065
217,218,2599,4095,157432,164126
218,219,3138,1171,151039,155348
219,220,1603,6553,264797,272953
220,221,115,110,99588,99813
221,222,1397,6071,114284,121752
222,223,29576,57550,512962,600088
223,224,127558,4,358490,486052
224,225,6590,17895,870710,895195
225,226,94713,30687,519171,644571
226,227,1320,3222,193178,197720
227,228,4848,5951,331181,341980
228,229,818664,51,711173,1529888
229,230,1227811,216,918989,2147016
230,231,663642,84,991503,1655229
231,232,75222,14,536054,611290
232,233,534771,47,669723,1204541
233,234,1045620,90,984897,2030607
234,235,2263,8148,404995,415406
235,236,1574182,9442,714180,2297804
236,237,1537789,81,704684,2242554
237,238,840721,46,737997,1578764
238,239,971646,111,724884,1696641
239,240,232,663,70875,71770
240,241,1051,4738,316673,322462
241,242,1285,10802,281244,293331
242,243,8824,26883,553762,589469
243,244,53737,82337,695035,831109
244,245,15,25,64829,64869
245,246,558764,44,892590,1451398
246,247,6943,13661,357609,378213
247,248,943,4269,194005,199217
248,249,841361,76,937341,1778778
249,250,1102,5321,175477,181900
250,251,53,29,45239,45321
251,252,512,768,104290,105570
252,253,88,182,5756,6026
253,254,1840,7653,358980,368473
254,255,49652,96472,1001151,1147275
255,256,40691,42667,797021,880379
256,257,2035,3095,144408,149538
257,258,1440,3106,261902,266448
258,259,1100,3489,245522,250111
259,260,38055,65402,352162,455619
260,261,193863,30,280599,474492
261,262,607191,121,604751,1212063
262,263,825443,3165,683092,1511700
