,p_id,p_hour,count
1,179,8,374
13,33,8,378
15,251,8,121
30,162,12,460
38,30,0,6
43,32,8,292
44,125,12,323
45,65,9,209
59,1,0,116
71,139,8,192
84,89,8,302
99,167,8,388
115,22,8,269
127,214,9,92
132,83,0,220
146,136,8,381
147,244,8,393
177,225,0,276
183,128,8,94
184,212,8,324
192,196,12,281
205,13,8,522
206,41,8,453
207,93,0,225
208,152,8,351
211,217,0,231
234,116,8,437
235,137,8,493
236,160,8,205
237,213,8,334
253,11,8,262
293,67,8,229
294,72,8,274
309,166,8,347
320,240,8,177
323,48,8,273
339,34,12,188
340,180,8,188
341,249,0,366
342,257,8,325
367,64,8,134
368,258,8,282
434,204,8,78
441,119,8,370
452,61,0,331
459,16,8,249
460,58,8,158
470,90,9,304
490,86,8,203
511,40,8,465
512,175,8,160
516,192,9,128
537,107,8,415
539,237,12,395
552,28,8,290
553,145,8,320
566,23,12,115
583,144,0,400
591,243,8,433
595,88,12,436
604,6,8,175
606,227,8,271
607,235,8,373
614,100,7,165
636,95,8,344
637,263,8,319
654,189,0,383
664,165,8,240
684,194,12,109
722,77,8,198
729,45,12,221
739,260,8,262
750,156,8,178
751,193,8,279
752,198,8,266
753,208,8,275
757,46,0,119
767,49,9,330
805,108,8,254
825,15,8,161
829,219,8,181
867,117,8,190
869,253,0,89
879,155,8,249
881,203,8,162
892,18,8,400
906,42,8,442
907,181,8,355
928,132,0,483
930,226,8,472
940,184,0,129
956,38,8,190
957,71,8,239
974,150,0,125
996,74,8,376
998,146,8,217
1005,54,8,296
1022,210,8,423
1038,169,8,386
1041,170,8,457
1046,232,0,239
1061,39,8,265
1062,129,8,252
1074,174,8,313
1086,216,8,274
1088,245,8,143
1089,50,8,334
1099,250,8,314
1103,201,8,89
1129,185,8,284
1144,131,8,215
1146,37,0,458
1153,124,8,210
1154,134,8,186
1155,168,8,340
1156,178,8,226
1169,44,0,74
1170,78,8,411
1171,220,8,414
1174,66,8,394
1184,73,8,196
1214,101,8,192
1243,126,8,250
1263,138,10,302
1272,197,8,317
1284,121,8,219
1285,241,8,414
1299,261,12,604
1326,230,0,477
1333,35,8,300
1337,172,8,109
1349,182,8,434
1362,8,8,52
1365,211,12,374
1369,200,8,290
1382,91,8,279
1417,21,8,289
1418,248,8,351
1439,84,8,71
1453,87,8,476
1473,221,8,218
1475,9,8,169
1480,186,7,263
1497,106,0,390
1511,47,8,373
1512,242,8,246
1519,229,8,515
1529,79,0,339
1533,112,0,379
1552,12,12,534
1625,147,8,344
1626,153,8,276
1628,176,8,130
1652,85,8,271
1663,233,8,500
1666,20,8,252
1678,135,8,269
1686,171,8,235
1701,62,8,264
1714,259,8,212
1752,133,8,276
1767,183,8,221
1789,159,8,306
1807,158,8,275
1819,92,0,349
1841,7,8,342
1843,206,8,216
1852,27,0,13
1857,246,8,331
1873,109,8,129
1874,149,8,208
1876,222,8,247
1881,99,2,4
1885,120,8,141
1886,161,12,648
1899,141,8,464
1900,205,8,234
1915,254,8,289
1932,76,8,220
1955,43,12,523
1957,215,8,201
1983,82,0,360
1994,127,8,308
1995,173,8,238
2042,69,8,342
2043,115,8,221
2060,36,0,513
2061,81,8,300
2062,96,8,134
2063,228,8,267
2082,255,0,622
2101,63,8,226
2102,122,8,190
2103,187,8,221
2116,234,12,419
2117,195,0,181
2152,51,8,238
2161,3,8,257
2162,164,0,306
2163,177,7,246
2195,97,0,311
2207,102,8,256
2218,202,9,130
2235,111,8,36
2256,59,8,198
2257,143,8,378
2258,224,8,211
2270,123,8,232
2280,52,8,466
2289,80,0,533
2290,118,12,120
2312,157,8,288
2317,236,8,495
2328,114,0,555
2348,68,9,338
2354,154,0,32
2368,53,8,166
2379,70,8,321
2381,191,8,258
2394,5,9,93
2395,113,9,318
2409,56,8,383
2421,19,8,210
2423,247,8,332
2436,4,8,299
2437,31,8,113
2438,60,8,302
2440,262,7,266
2448,24,8,407
2450,231,8,400
2451,190,12,219
2452,130,0,282
2469,17,0,357
2475,14,8,306
2478,140,8,521
2479,252,8,154
2480,223,8,372
2481,98,8,171
2495,239,8,361
2521,94,8,288
2554,29,8,190
2555,55,8,262
2556,163,12,552
2567,218,8,260
2579,256,0,529
2582,209,8,209
2591,57,8,142
2592,238,8,479
2613,75,8,372
2614,188,8,307
2623,26,9,215
2624,148,0,498
2625,151,8,370
2627,10,8,229
2634,207,12,2
2638,142,8,423
2639,25,0,349
